LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	Commentaires / Intégration métadonnées
A01N00_NAR_ENT_00010	00010	ENTRANCE	NARRATEUR 	A01N00	 Alors c’est ici.	Here it is.	Done
A01N00_NAR_ENT_00020	00020	ENTRANCE	NARRATEUR 	A01N00	 Cela fait si longtemps que je n'ai pas vu cet endroit.	It’s been so long since I last came here.	Done
A01N00_NAR_ENT_00030	00030	ENTRANCE	NARRATEUR 	A01N00	 Je me souviens avoir couru dans ce jardin. Je me souviens d’éclats de rire d’enfants, d’adultes assis au soleil autour d’une table, du bruit des couverts.	I remember running in the garden. I remember children laughing, adults sitting in the sun around a table, and sounds of cutlery.	Done
A01N00_NAR_ENT_00031	00030	ENTRANCE	NARRATEUR 	A01N00	Les visages sont flous… Je peux imaginer les scènes du passé, mais je serai bien incapable de dire quels détails ont changé.	Faces are blurry… I can imagine scenes of the past, but I’d be unable to tell which details have changed.	Done
A01N00_NAR_ENT_00032	00030	ENTRANCE	NARRATEUR 	A01N00	Je pensais que c’était ma petite taille qui me donnait une impression d’immensité, mais même adulte, tout me parait toujours aussi grand…	I thought it was my small size that made it feel so big, but even as an adult today, everything seems huge…	Done
A01N00_NAR_ENT_00040	00040	ENTRANCE	NARRATEUR 	A01N00	 Je sonne. L’interphone grésille.	I call on the interphone. It sizzles.	PAS la suite logique du dialogue, besoin de cliquer sur l'objet
A01N00_Geo_ENT_00050	00050	ENTRANCE	Geoffroy 	A01N00	 Bonsoir. Que puis-je pour vous ?	Good evening. What can I do for you?	Done
A01N00_Kim_ENT_00060	00060	ENTRANCE	Kim 	A01N00	" Bonsoir, c’est…	"	Good evening, it’s…	Done
A01N00_Kim_ENT_00070	00070	ENTRANCE	Kim 	A01N00	 M. Luong.	Mr. Luong.	Done
A01N00_Kim_ENT_00080	00080	ENTRANCE	Kim 	A01N00	 Mme Luong.	Mrs. Luong.	Done
A01N00_Kim_ENT_00090	00090	ENTRANCE	Kim 	A01N00	 Mx Luong.	Mx. Luong.	Done
A01N00_Geo_ENT_00100	00100	ENTRANCE	Geoffroy 	A01N00	 Nous vous attendions. Entrez, je vous en prie !	We were waiting for you. Please come in!	Done
A01N00_NAR_ENT_00110	00110	ENTRANCE	NARRATEUR 	A01N00	 La grille s’ouvre.	The gate opens.	Done
A01N00_NAR_GAR_00120	00120	GARDEN	NARRATEUR 	A01N00	 Je découvre les jardins.	I discover the gardens.	Done
A01N00_NAR_GAR_00121	00120	GARDEN	NARRATEUR 	A01N00	Un homme grand et fin vient à ma rencontre pour me guider jusqu’à l’entrée.	A tall and thin man comes to me and guides me towards the entrance.	Done
A01N00_Geo_GAR_00130	00130	GARDEN	Geoffroy 	A01N00	 Bienvenue, ◘Mme|M.|Mx◘ Luong. Par ici, je vous prie.	Welcome, ◘Mrs.|Mr.|Mx.◘  Luong. This way, please.	Done
A01N00_NAR_HAL_00140	00140	HALL	NARRATEUR 	A01N00	 Le hall… Ces escaliers !	The hall… These stairs!	Done
A01N00_NAR_HAL_00141	00140	HALL	NARRATEUR 	A01N00	Je me souviens de nos jeux d’espions, enfants, alors que l’un d’entre nous se postait en haut, un autre en bas, et que nous écoutions les conversations des adultes qui résonnaient dans les salles.	Now I remember playing spies, as children, one of us staying upstairs, another one listening on the conversations of the adults echoing in the rooms downstairs.	Done
A01N00_NAR_HAL_00150	00150	HALL	NARRATEUR 	A01N00	J’aurais voulu revisiter l’endroit dans d’autres circonstances ; mais c’est malheureusement la mort qui a ramené mes pas jusqu’ici.	I’d have liked to come back here in other circumstances; unfortunately, it is death that brought me here.	Done
A01N00_Geo_HAL_00160	00160	HALL	Geoffroy 	A01N00	 Puis-je prendre votre manteau ?	May I take your coat?	Done
A01N00_Kim_HAL_00170	00170	HALL	Kim 	A01N00	 Merci.	Thank you.	Done
A01N00_NAR_HAL_00180	00180	HALL	NARRATEUR 	A01N00	 Des bruits de pas…	The sound of steps…	Done
A01N00_Abi_HAL_00190	00190	HALL	Abigail 	A01N00	 Bonsoir, ◘Mme|M.|Mx◘ Luong.	Good evening, ◘Mrs.|Mr.|Mx.◘ Luong.	Done
A01N00_Abi_HAL_00200	00200	HALL	Abigail 	A01N00	 J’espère que vous avez fait bon voyage.	I hope your journey went smoothly.	Done
A01N00_Abi_HAL_00210	00210	HALL	Abigail 	A01N00	 Permettez-moi de me présenter ; vous ne vous souvenez peut-être pas de moi.	Allow me to present myself, you might not remember me.	Done
A01N00_Abi_HAL_00220	00220	HALL	Abigail 	A01N00	 Je suis Abigail, la fille aînée des Castheran. Je vous souhaite la bienvenue au Manoir. 	I am Abigail, eldest child of the Castheran. Welcome to the Manor.	Done
A01N00_Kim_HAL_00230	00230	HALL	Kim 	A01N00	 Bonsoir… Ravi◘e||•e◘ de vous retrouver, malgré les circonstances.	Good evening… It’s very nice to see you again, despite the circumstances.	Done
A01N00_Abi_HAL_00240	00240	HALL	Abigail 	A01N00	 C'est une triste occasion, merci de compatir à notre peine.	Abigail: It is a sad occasion. Thank you for your concern.	Done
A01N00_Kim_HAL_00250	00250	HALL	Kim 	A01N00	 Merci beaucoup, Abigail.	Thank you very much, Abigail.	Done
A01N00_NAR_HAL_00260	00260	HALL	NARRATEUR 	A01N00	 Elle hoche la tête, visiblement ailleurs.	She nods, apparently elsewhere.	Done
A01N00_Kim_HAL_00270	00270	HALL	Kim 	A01N00	 Oui oui, je me souviens. 	Yeah, yeah, I remember you well.	Done
A01N00_Abi_HAL_00280	00280	HALL	Abigail 	A01N00	 Par contre, vous semblez avoir oublié vos bonnes manières.	Abigail: But you seem to have forgotten your manners.	Done
A01N00_Kim_HAL_00290	00290	HALL	Kim 	A01N00	 Ah, euh, pardon…	Kim: What? Um, sorry…	Done
A01N00_Kim_HAL_00300	00300	HALL	Kim 	A01N00	 C’est toujours aussi imposant ici.	This place is still very impressive.	Done
A01N00_NAR_HAL_00310	00310	HALL	NARRATEUR 	A01N00	 Pourquoi est-elle déjà agacée ?	What is she mad about?	Done
A01N00_Kim_HAL_00320	00320	HALL	Kim 	A01N00	 …	…	Done
A01N00_Abi_HAL_00330	00330	HALL	Abigail 	A01N00	 La moindre des choses serait d'offrir vos salutations.	The very least you could do would be to offer your greetings.	Done
A01N00_Kim_HAL_00340	00340	HALL	Kim 	A01N00	 Ah, euh, oui… Ravi◘e||•e◘ de vous retrouver.	Um, yes… Nice to see you again.	Done
A01N00_NAR_HAL_00350	00350	HALL	NARRATEUR 	A01N00	 L’ai-je agacée ?	Did I make her mad?	Done
