LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	COMMENTAIRES / intégration métadonnées
A01N01_NAR_LIV_00010	00010	LIVINGROOM	NARRATEUR 	A01N01	 Abigail est en train d’écrire quelque chose… J’ai peur de la déranger.	Abigail is writing something… I don’t want to disturb her.	Done
A01N01_NAR_LIV_00020	00020	LIVINGROOM	NARRATEUR 	A01N01	 Mais...	But…	Done
A01N01_NAR_LIV_00030	00030	LIVINGROOM	NARRATEUR 	A01N01	 Après tout, c’est elle qui m’a dit qu’ils étaient à ma disposition pour répondre à mes questions…	Well, after all, she told me they were here for me if I had any question.	Done
A01N01_NAR_LIV_00040	00040	LIVINGROOM	NARRATEUR 	A01N01	 Peut-être était-ce par politesse, elle n’a pas l’air très encline à parler aux autres de manière générale.	Was it only per courtesy? She doesn’t seem inclined to speak with other people.	Done
A01N01_NAR_LIV_00050	00050	LIVINGROOM	NARRATEUR 	A01N01	 Ah, elle m’a remarqué#e||•e# !	Ah, she just noticed me!	Done
A01N01_Abi_LIV_00060	00060	LIVINGROOM	Abigail 	A01N01	 Que puis-je faire pour vous ?	What can I do for you?	Done
A01N01_Kim_LIV_00070	00070	LIVINGROOM	Kim 	A01N01	 Tu es la fille aînée, c’est ça ?	You’re the eldest child, right, Aby?	Done
A01N01_Abi_LIV_00080	00080	LIVINGROOM	Abigail 	A01N01	 En effet. Le Manoir me revient de droit. Je vous prierai par contre de bien vouloir me vouvoyer à l’avenir.	I am. The Manor is mine by right. That said, please do not call me Aby from now on.	Done
A01N01_Kim_LIV_00090	00090	LIVINGROOM	Kim 	A01N01	 D’accord, je n’oublierai plus.	Right, sorry.	Done
A01N01_NAR_LIV_00100	00100	LIVINGROOM	NARRATEUR 	A01N01	 Elle pense qu’elle mérite le Manoir simplement parce qu’elle est l’aînée ?	She thinks the Manor should be hers just because she’s the eldest?	Done
A01N01_NAR_LIV_00101	00100	LIVINGROOM	NARRATEUR 	A01N01	Cela ne suffira pas pour moi, mais elle n’a pas l’air d’avoir très envie de parler.	It won’t be enough for me, but she doesn’t seem to want to speak more about it.	Done
A01N01_NAR_LIV_00102	00100	LIVINGROOM	NARRATEUR 	A01N01	Il faut que j’en apprenne plus.	I need to learn more somehow.	Done
A01N01_Abi_LIV_00110	00110	LIVINGROOM	Abigail 	A01N01	 Quelle perspicacité. Ça vous arrive souvent, de poser des questions aussi inutiles ?	What brilliant insight! Do you often ask such useless questions?	Done
A01N01_NAR_LIV_00120	00120	LIVINGROOM	NARRATEUR 	A01N01	 Pas très amicale…	She’s so unfriendly…	Done
A01N01_Abi_LIV_00130	00130	LIVINGROOM	Abigail 	A01N01	 Au lieu de répéter des évidences, je vous prierai de bien vouloir me vouvoyer à l’avenir.	Instead of repeating such obvious facts, I urge you to please stop calling me Aby from now on.	Done
A01N01_Kim_LIV_00140	00140	LIVINGROOM	Kim 	A01N01	 Mais nous étions amis d’enfance !	But we were childhood friends!	Done
A01N01_Abi_LIV_00150	00150	LIVINGROOM	Abigail 	A01N01	 Cela fait bien longtemps que nous ne le sommes plus, #Mme|M.|Mx# Luong.	We haven’t been friends for a long time now, #Mrs.|Mr.|Mx.# Luong.	Done
A01N01_NAR_LIV_00160	00160	LIVINGROOM	NARRATEUR 	A01N01	 Elle est vraiment à cheval sur la politesse. J’aurai peut-être dû faire plus attention.	She is so uptight about courtesy… What’s so wrong about calling her Aby? I need to be more careful from now on.	Done
A01N01_Kim_LIV_00170	00170	LIVINGROOM	Kim 	A01N01	 Pouvez-vous m’en dire davantage sur vous, Abigail ?	Can you tell me more about yourself, Abigail?	Done
A01N01_Abi_LIV_00180	00180	LIVINGROOM	Abigail 	A01N01	 Je n’ai pas grand-chose à dire. J’ai toujours vécu ici, avec mon frère et mes parents.	I don’t have much to say. I’ve always lived here with my brother and my parents.	Done
A01N01_Kim_LIV_00190	00190	LIVINGROOM	Kim 	A01N01	 Pourquoi devrais-je vous choisir comme héritière, à votre avis ?	Why should I choose you as the heir, from your point of view?	Done
