LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	INTEGRATION DES METADONNEES
A01N02_Kim_HAL_00010	00010	HALL	Kim 	A01N02	 Bonjour, Léontine. Pourriez-vous me montrer les lieux ? Je suis un peu perdu.	Good morning, Léontine. Could you please show me around? I’m a little lost.	Done
A01N02_Léo_HAL_00020	00020	HALL	Léontine 	A01N02	 Mm ? J’ai beaucoup trop de travail ! Si vous avez un creux, la <b>cuisine</b> est par là, et si vous, vous avez le temps de jouer, y a une <b>salle de jeux</b> à l’étage, couloir de gauche, après le boudoir et le salon bleu. Vous vous en sortirez ?	Mm? I’ve way too much work for that! If you’re hungry, the <b>kitchen</b> is right there, and if you have time to play around, there’s a <b>toyroom</b> upstairs, left hallway, after the boudoir and the blue room. You will manage, won’t you?	Done
A01N02_Kim_HAL_00030	00030	HALL	Kim 	A01N02	 Oui, merci…	Yes, thanks…	Done
A01N02_Kim_HAL_00040	00040	HALL	Kim 	A01N02	 J’ai une question à vous poser sur Geoffroy.	I’ve a question for you about Geoffroy.	Done
A01N02_Léo_HAL_00050	00050	HALL	Léontine 	A01N02	 Posez-donc, posez donc. Mais j’ai du travail, moi, faites-vite… Y a d’autres personnes pour vous renseigner, non ?	Ask away, ask away. But I’ve work to do, so hurry a bit… Other people can help you out too, you know?	Done
A01N02_Kim_HAL_00060	00060	HALL	Kim 	A01N02	 Votre avis personnel m’importe plus que n’importe lequel.	Your advice counts more than anyone else’s to me.	Done
A01N02_Léo_HAL_00070	00070	HALL	Léontine 	A01N02	 Ah, dans ce cas…	Oh, in that case…	Done
A01N02_NAR_HAL_00080	00080	HALL	NARRATEUR 	A01N02	 Elle a l’air flatté.	She seems flattered.	Done
A01N02_Kim_HAL_00090	00090	HALL	Kim 	A01N02	 Vous travaillez avec Geoffroy depuis longtemps ?	Have you been working with Geoffroy for long?	Done
A01N02_Léo_HAL_00100	00100	HALL	Léontine 	A01N02	 Très. Il est arrivé peu avant moi, et il n’y a jamais rien eu à redire sur sa conduite.	Very long, actually. He arrived a bit before me, and there never was anything to say about his conduct.	Done
A01N02_Kim_HAL_00110	00110	HALL	Kim 	A01N02	 Pas même qu’il soit flemmard ?	Not even that he’s a lazybones?	Done
A01N02_NAR_HAL_00120	00120	HALL	NARRATEUR 	A01N02	Elle rougit… De honte pour ses propos passés, peut-être ?	She blushes… Ashamed by her past remarks, maybe?	Done
A01N02_Léo_HAL_00130	00130	HALL	Léontine 	A01N02	 Non, non, il ne compte pas ses heures, Geoffroy, il est là quand on a besoin de lui, c’est tout… Excusez les propos d’une vieille gouvernante, je ne voulais pas dire de mal de lui.	 No, no, he don’t count his hours, our Geoffroy. He’s here when we need him, that’s it… Forgive the words of an old housekeeper, I didn’t mean to badmouth him.	Done
A01N02_Kim_HAL_00140	00140	HALL	Kim 	A01N02	 C’est tout oublié.	 It’s all forgotten.	Done
A01N02_Kim_HAL_00150	00150	HALL	Kim 	A01N02	 Ce sera rapide.	I’ll be fast	Done
A01N02_Kim_HAL_00160	00160	HALL	Kim 	A01N02	 Vous m’aviez dit que Geoffroy était un flemmard ?	 You told me Geoffroy was a lazybones, right?	Done
A01N02_Léo_HAL_00170	00170	HALL	Léontine 	A01N02	 J’ai dit ça, moi ? Non, je suis sûre que vous vous trompez. Je me méfie… non, non, Geoffroy n’est pas un flemmard. Pourquoi dites-vous que Geoffroy est un flemmard ?	I said that? No, I’m sure you didn’t hear me right. I don’t trust you. No, no, Geoffroy ain’t a lazybones. Why are you attackin’ him and sayin’ he’s a lazybones?	Done
A01N02_NAR_HAL_00180	00180	HALL	NARRATEUR 	A01N02	 Euh…	Um…	Done
A01N02_Kim_HAL_00190	00190	HALL	Kim 	A01N02	 Il fait donc bien son travail ?	So he does his job correctly?	Done
A01N02_Léo_HAL_00200	00200	HALL	Léontine 	A01N02	 Très bien. Je travaille avec lui depuis toujours, il est arrivé peu avant moi, et il n’y a jamais rien eu à redire sur sa conduite. Alors ne commencez pas aujourd’hui !	Yes! I’ve worked with him forever, he arrived a bit before me and there was never anything to say about his conduct. So don’t start judging him today!	Done
A01N02_Kim_HAL_00210	00210	HALL	Kim 	A01N02	 Pouvez-vous me donner accès au grenier ?	Could you give me access to the attic?	Done
A01N02_Léo_HAL_00220	00220	HALL	Léontine 	A01N02	 Oh ! Je vais l’ouvrir et placer l’échelle, mais s’il vous plait, ne vous y rendez pas tout de suite, que je puisse aérer et m’occuper de la poussière ! Je ne veux pas que vous tombiez malade en respirant l’air là-haut.	Oh! I’ll open it and put on the ladder, but please, don’t go right now, I want to ventilate and dust a bit first! I don’t want you to be sick breathing the foul air upstairs.	Done
A01N02_Kim_HAL_00230	00230	HALL	Kim 	A01N02	 C’est promis.	I promise.	Done
A01N02_Kim_HAL_00240	00240	HALL	Kim 	A01N02	 Je préfère que vous ne touchiez à rien.	I’d rather you didn’t touch anything.	Done
A01N02_Kim_HAL_00250	00250	HALL	Kim 	A01N02	 Tout doit être en état pour mon enquête.	Everything needs to be clean for my investigation.	Done
A01N02_Léo_HAL_00260	00260	HALL	Léontine 	A01N02	 A vos ordres, à vos ordres…	Alright, alright…	Done
A01N02_NAR_HAL_00270	00270	HALL	NARRATEUR 	A01N02	 Elle a l’air vexé.	She seems offended.	Done
A01N02_NAR_CUI_00280	00280	CUISINE	NARRATEUR 	A01N02	 Je ne m’habituerai jamais à une cuisine aussi grande !	I’ll never get used to such a big kitchen!	Done
A01N02_NAR_CUI_00281	00280	CUISINE	NARRATEUR 	A01N02	Ça me donne envie de faire la cuisine, de voir tous ces fours et de sentir toutes ces bonnes odeurs… 	Cooking appeals to me when I see all these ovens and smell all these nice smells…	Done
A01N02_NAR_CUI_00282	00280	CUISINE	NARRATEUR 	A01N02	J’ai l’impression d’y sentir une présence, comme si Célestia était encore là, à rire en nous voyant mettre de la farine partout, pendant qu’elle nous apprenait à faire des cookies.	 I feel a presence, as if Célestia was still there, laughing with us while we spread flour everywhere and she taught us to bake cookies.	Done
A01N02_NAR_CUI_00290	00290	CUISINE	NARRATEUR 	A01N02	 Ernest est en train de grignoter.	Ernest is eating something.	Done
A01N02_Ern_CUI_00300	00300	CUISINE	Ernest 	A01N02	 Salut ! Tu vas bien ?	 Hey! Are you feeling well?	Done
A01N02_Kim_CUI_00310	00310	CUISINE	Kim 	A01N02	 Oui, merci.	 Yes, thanks.	Done
A01N02_NAR_CUI_00320	00320	CUISINE	NARRATEUR 	A01N02	 Je m’installe avec lui. Il regarde sa montre toutes les trente secondes, j’ai l’impression qu’il est stressé.	I sit by him. He looks at his watch every thirty seconds and seems stressed.	Done
A01N02_Kim_CUI_00330	00330	CUISINE	Kim 	A01N02	 Quelque chose de prévu aujourd’hui ?	 Did you plan anything for today?	Done
A01N02_Ern_CUI_00340	00340	CUISINE	Ernest 	A01N02	 Oh, non, rien de spécial. Enfin, pas pour moi, c’est toi qui est sous pression aujourd’hui !	 Oh, nothing special. You are the one under pressure today!	Done
A01N02_Ern_CUI_00341	00341	CUISINE	Ernest 	A01N02	Juste quelques heures pour choisir quelqu’un…	Just a few hours to choose somebody…	Done
A01N02_Ern_CUI_00342	00342	CUISINE	Ernest 	A01N02	C’est dans ces moments-là qu’une montre est utile, tu ne trouves pas ?	 It’s in that kind of moments you wish you had a watch, don’t you think?	Done
A01N02_Ern_CUI_00350	00350	CUISINE	Ernest 	A01N02	 …	…	Done
A01N02_Ern_CUI_00360	00360	CUISINE	Ernest 	A01N02	 T’es sûr#e||•e# que tu n’en veux pas une ?	You sure you don’t want one?	Done
A01N02_Ern_CUI_00370	00370	CUISINE	Ernest 	A01N02	 Non ?	No?	Done
A01N02_Ern_CUI_00380	00380	CUISINE	Ernest 	A01N02	 C’est encore une blague, aha…	It’s a joke again, aha…	Done
A01N02_Ern_CUI_00390	00390	CUISINE	Ernest 	A01N02	 En plus tu n’as sûrement pas besoin de toute la journée, à ta place j’aurais déjà décidé.	You probably don’t need all day anyway, if I were you, I would have decided already.	Done
A01N02_Ern_CUI_00400	00400	CUISINE	Ernest 	A01N02	 J’en vends, si tu veux. J’ai lancé ma propre boîte, « Wait&Watch », avec un petit jeu de mot sur « watch », qui veut dire à la fois observer et montre ! Tu as vu la mienne ? Elles sont vraiment classes. Tu en voudrais une, du coup ?	I sell some, if you want. I launched my own company, “Wait&Watch”, with a little word game on watch, you know, like looking and like a clock! Did you see mine? They’re really awesome. So, you want one?	Done
A01N02_Kim_CUI_00410	00410	CUISINE	Kim 	A01N02	 Plus tard ? Ce n’est pas vraiment le moment…	Later? It’s not really the right time…	Done
A01N02_Ern_CUI_00420	00420	CUISINE	Ernest 	A01N02	 Oui, je sais bien, je plaisantais ! On en reparlera, je te montrerai le catalogue.	 Right, yes, I know, I was just kidding! We’ll talk about it later. I’ll show you the catalogue.	Done
A01N02_Kim_CUI_00430	00430	CUISINE	Kim 	A01N02	 Tu rigoles ? Ce n’est pas le moment !	Are you kidding? It’s not the right time!	Done
A01N02_Kim_CUI_00440	00440	CUISINE	Kim 	A01N02	 Les Castheran sont en deuil, je dois régler une histoire d’héritage et tu me parles de montres ?	The Castheran are mourning, I have to deal with the inheritance and you’re telling me about watches?	Done
A01N02_Ern_CUI_00450	00450	CUISINE	Ernest 	A01N02	 Pas la peine de t’en prendre à moi, je plaisantais ! Je ne suis pas désespéré à ce point, aha.	Hey, don’t get mad at me, I was just kidding! I’m not that desperate, aha. 	Done
A01N02_Ern_CUI_00460	00460	CUISINE	Ernest 	A01N02	 De toute façon, tu n’as sûrement pas besoin de toute la journée, à ta place j’aurais déjà décidé.	Anyway, you probably don’t need all day to make a choice. If I were you, I would have decided already.	Done
A01N02_Kim_CUI_00470	00470	CUISINE	Kim 	A01N02	 Ah bon ?	 Really?	Done
A01N02_Ern_CUI_00480	00480	CUISINE	Ernest 	A01N02	 Bien sûr. Tout le monde pense que tu devrais choisir Abigail.	 Of course. Everyone thinks you should choose Abigail.	Done
A01N02_Kim_CUI_00490	00490	CUISINE	Kim 	A01N02	 Sûrement pas tout le monde.	 I’m sure it’s not everyone.	Done
A01N02_Ern_CUI_00500	00500	CUISINE	Ernest 	A01N02	 Presque. En tout cas, considère qu’elle a tout mon soutien, si ça compte pour quelque chose.	 Almost. She has my support anyway, if that counts for anything.	Done
A01N02_Kim_CUI_00510	00510	CUISINE	Kim 	A01N02	 A plus tard.	See you later	Done
A01N02_Kim_CUI_00520	00520	CUISINE	Kim 	A01N02	 Tu aimes vraiment vendre des montres ?	You really like to sell watches?	Done
A01N02_Ern_CUI_00530	00530	CUISINE	Ernest 	A01N02	 Même pour les plus récalcitrants, <color=#867c26ff>W&W</color> trouve toujours la montre parfaite ! J’aime voir les sourires des gens lorsqu’ils repartent avec.	 Even for the most Whimsical, <color=#867c26ff>W&W</color> always find the perfect Watch! I love seeing the smiles of people when they leave with theirs.	Done
A01N02_Ern_CUI_00540	00540	CUISINE	Ernest 	A01N02	 Kim, tout va bien ?	Kim, is everything alright?	Done
A01N02_NAR_CUI_00550	00550	CUISINE	NARRATEUR 	A01N02	 Il est peut-être temps de lui parler des sms que j’ai lu ?	Maybe it’s time to tell him about the text messages I read?	Done
A01N02_Kim_CUI_00560	00560	CUISINE	Kim 	A01N02	 Parler des sms	Mention the text messages	Done
A01N02_Kim_CUI_00570	00570	CUISINE	Kim 	A01N02	 A toi de me dire.	 You tell me.	Done
A01N02_Ern_CUI_00580	00580	CUISINE	Ernest 	A01N02	 Comment ça ?	 What do you mean?	Done
A01N02_Kim_CUI_00590	00590	CUISINE	Kim 	A01N02	 C’est qui, Désirée ?	Who’s Désirée?	Done
A01N02_NAR_CUI_00600	00600	CUISINE	NARRATEUR 	A01N02	 Apparemment, j’ai touché juste… Il est complètement désemparé.	Apparently, I hit a nerve… He’s completely disconcerted.	Done
A01N02_Ern_CUI_00610	00610	CUISINE	Ernest 	A01N02	 Désirée ? Comment tu connais Désirée ? Je ne t’ai pas parlé d’elle, si ?	Désirée? How do you know Désirée? I didn’t tell you about her, did I?	Done
A01N02_Kim_CUI_00620	00620	CUISINE	Kim 	A01N02	 Tu ne m’as pas trop parlé de ta vie avant de retrouver Abigail et Hippolyte. De ta boîte et de tes avancées professionnelles, oui… Mais ta vie personnelle ? Des relations, avant Abigail ?	You didn’t tell me much about your life before you came back here to see Abigail and Hippolyte. You told me about your startup and your professional life, yes, but what about your personal life? Your relationships, before Abigail?	Done
A01N02_Ern_CUI_00630	00630	CUISINE	Ernest 	A01N02	 Est-ce important ?	Does it matter?	Done
A01N02_Kim_CUI_00640	00640	CUISINE	Kim 	A01N02	 Si tu veux que je t’aide à lui faire comprendre que tu es amoureux d’elle, oui.	If you want me to help you get her to understand that you’re in love with her, yes, it is.	Done
A01N02_Ern_CUI_00650	00650	CUISINE	Ernest 	A01N02	 Qu’est-ce que tu as découvert ? Ma relation avec Victor ?	What did you find out? My relationship with Victor?	Done
A01N02_Kim_CUI_00660	00660	CUISINE	Kim 	A01N02	 … ?	…?	Done
A01N02_Ern_CUI_00670	00670	CUISINE	Ernest 	A01N02	 Je suis pan, c’est un problème ?	I’m pan, is that a problem?	Done
A01N02_NAR_CUI_00680	00680	CUISINE	NARRATEUR 	A01N02	 Hum ? Pourquoi ce serait un problème, qu’il soit attiré par des personnes quel que soit leur genre ? Ce n’était pas la question…	Hum? Why would it be a problem, that he’s attracted to people no matter what their gender is? It wasn’t my question at all…	Done
A01N02_Kim_CUI_00690	00690	CUISINE	Kim 	A01N02	 Non. Je m’inquiétais surtout de savoir si tu avais d’autres relations qui seraient blessées que tu te rapproches d’Abigail.	No, it’s not. I’m just worried about whether you have other lovers that would be hurt if you got close to Abigail.	Done
A01N02_Ern_CUI_00700	00700	CUISINE	Ernest 	A01N02	 Tu me rassures. Mais c’est fini depuis des mois avec lui, Kim, je ne suis amoureux que d’Abigail.	That’s reassuring, but our relationship has been over for months, Kim, and I’m only in love with Abigail.	Done
A01N02_Kim_CUI_00710	00710	CUISINE	Kim 	A01N02	 Ce n’est pas sur lui que je me posais des questions, mais sur Désirée.	I’m not worried about him, I’m worried about Désirée.	Done
A01N02_Ern_CUI_00720	00720	CUISINE	Ernest 	A01N02	 Désirée ? Pourquoi Désirée ?	Désirée? Why Désirée?	Done
A01N02_NAR_CUI_00730	00730	CUISINE	NARRATEUR 	A01N02	 Il a l’air vraiment surpris… Ce n’est donc pas un intérêt amoureux ?	He seems genuinely surprised… She isn’t in a relationship with him, then?	Done
A01N02_Kim_CUI_00740	00740	CUISINE	Kim 	A01N02	 Elle n’est pas amoureuse de toi ?	Isn’t she in love with you?	Done
A01N02_Ern_CUI_00750	00750	CUISINE	Ernest 	A01N02	 Euh, non ? Et comment est-ce que tu connais son existence ? Je ne t’ai pas parlé d’elle, si ?	Um, not that I know of? How do you know her? I didn’t tell you about her, did I?	Done
A01N02_NAR_CUI_00760	00760	CUISINE	NARRATEUR 	A01N02	 Dois-je lui dire la vérité ? Ce n’était pas très honnête de ma part de fouiller son téléphone…	Should I tell him the truth? It wasn’t very honest of me to rummage through his phone…	Done
A01N02_Kim_CUI_00770	00770	CUISINE	Kim 	A01N02	 Peu importe.	It doesn’t matter.	Done
A01N02_Kim_CUI_00780	00780	CUISINE	Kim 	A01N02	 J’ai mes sources, et j’ai besoin d’en savoir plus.	I know what I’m talking about, and I need to know more.	Done
A01N02_Ern_CUI_00790	00790	CUISINE	Ernest 	A01N02	 Tu peux me dire, tu sais. On est amis, non ?	You can tell me, you know. We’re friends, aren’t we?	Done
A01N02_Kim_CUI_00800	00800	CUISINE	Kim 	A01N02	 Je préfère garder mes méthodes secrètes. Tu vas m’en dire davantage ?	I’d rather keep my sources private. Are you going to tell me more?	Done
A01N02_NAR_CUI_00810	00810	CUISINE	NARRATEUR 	A01N02	 Il est boudeur.	He’s sulking.	Done
A01N02_Ern_CUI_00820	00820	CUISINE	Ernest	A01N02	 Pourquoi est-ce que j’en dirai plus si toi non ? On ne peut pas se faire confiance, apparemment.	Why would I tell you more if you won’t do the same? We can’t trust each other, apparently.	Done
A01N02_Kim_CUI_00830	00830	CUISINE	Kim 	A01N02	 C’est toi qui veux que je t’aide, à la base…	You’re the one who wants my help, you know…	Done
A01N02_Ern_CUI_00840	00840	CUISINE	Ernest 	A01N02	 Et bien je ne veux plus, je me débrouillerai.	Well I don’t want it anymore, I can handle things myself.	Done
A01N02_NAR_CUI_00850	00850	CUISINE	NARRATEUR 	A01N02	 Je l’ai vexé… Tant pis. Concentrons-nous sur les autres.	I’ve offended him… Well, too bad. Let’s concentrate on the others.	Done
A01N02_Kim_CUI_00860	00860	CUISINE	Kim 	A01N02	 Il faut que je t’avoue quelque chose.	I need to confess something.	Done
A01N02_Kim_CUI_00870	00870	CUISINE	Kim 	A01N02	 En fait, j’ai regardé ton téléphone portable.	Actually, I looked in your cellphone.	Done
A01N02_Ern_CUI_00880	00880	CUISINE	Ernest 	A01N02	 Quoi ? Mais tu n’en as aucun droit !	What? You can’t do that!	Done
A01N02_Kim_CUI_00890	00890	CUISINE	Kim 	A01N02	 Je sais, ce n’était pas honnête de ma part. Mais comme je dois en apprendre davantage sur vous pour pouvoir faire mon choix, et que je ne peux pas uniquement faire confiance à ce que vous me dites, j’ai voulu vérifier certaines choses par moi-même.	I know, I know, it wasn’t the right thing to do. I’m sorry. I need to learn more about all of you to make my choice, and I can’t just trust what you say, so I wanted to check some things out.	Done
A01N02_Ern_CUI_00900	00900	CUISINE	Ernest 	A01N02	 Ça n’excuse rien ! Tu aurais dû me demander pour que je te le passe de moi-même.	That doesn’t excuse anything! You should have asked me so I could just give it to you.	Done
A01N02_Kim_CUI_00910	00910	CUISINE	Kim 	A01N02	 Tu l’aurais fait ? Sans rien effacer ?	Would you have done it, though? Without erasing anything?	Done
A01N02_Ern_CUI_00920	00920	CUISINE	Ernest 	A01N02	 Est-ce que le fait qu’il y ait une chance que je sois malhonnête excuse que tu le sois ?	Is the fact that I could have been dishonest excuse the fact that you are?	Done
A01N02_Kim_CUI_00930	00930	CUISINE	Kim 	A01N02	 Non. Je suis désolé#e||•e# et ça n’arrivera plus.	No, I’m sorry, it won’t happen again.	Done
A01N02_Ern_CUI_00940	00940	CUISINE	Ernest 	A01N02	 J’espère bien. Et pour Désirée… Le mal est fait, maintenant, tu sais tout. Mais tu peux comprendre, n’est-ce pas ? La boîte va couler… Je n’ai pas d’autres options…	I hope so. As for Désirée… The damage is done, now, you know everything. You can understand me though, right? Our startup is going down… I don’t have any other option…	Done
A01N02_NAR_CUI_00950	00950	CUISINE	NARRATEUR 	A01N02	 De quoi parle-t-il ?	What’s he talking about?	Done
A01N02_Ern_CUI_00960	00960	CUISINE	Ernest 	A01N02	 Et j’aime bien Abigail quand même, même si je ne suis pas amoureux d’elle ! On est amis d’enfance, on se comprend, je l’admire beaucoup, ce ne serait pas une mauvaise alliance, si elle arrive à m’aimer un peu aussi. Peut-être que mes motifs initiaux ne sont pas les sentiments, mais il y en a plein, encore aujourd’hui, qui se mettent ensemble pour payer moins d’impôts et des trucs comme ça, non ? Là c’est pareil… Je veux juste sauver ma startup, je me suis tellement investi dedans… Puis c’était l’idée de Désirée, de voir si des contacts plus riches ne pouvaient pas nous aider, ce n’est pas vraiment ma faute. Si je ne fais rien, elle va tout perdre, alors elle s’inquiète beaucoup.	And I like Abigail anyway, even though I’m not in love! We’re childhood friends, we understand each other, I admire her so much, it wouldn’t be a bad alliance, if she could love me a little too. Maybe my initial motives aren’t feelings, but there are a lot of people who still get together to pay less taxes and such, right? It’s the same here. I just want to save my business and my dream, I’ve invested so much in it… And it was Désirée’s idea, to see if rich contacts could help us, it’s not really my fault.	Done
A01N02_NAR_CUI_00970	00970	CUISINE	NARRATEUR 	A01N02	 C’est donc ça ! Désirée doit être sa collègue… 	So that’s it! Désirée must be his associate…	Done
A01N02_Kim_CUI_00980	00980	CUISINE	Kim 	A01N02	 Je comprends mieux pourquoi tu veux que je choisisse Abigail comme héritière… 	I understand better why you want me to choose Abigail as the heir.	Done
A01N02_Kim_CUI_00990	00990	CUISINE	Kim 	A01N02	 Mais pourquoi m’as-tu dit que tu n’appréciais pas Abigail, quand on s’est rencontré ?	But why did you tell me you didn’t like Abigail, when we met?	Done
A01N02_Ern_CUI_01000	01000	CUISINE	Ernest 	A01N02	 Oh… J’avais juste peur qu’Abigail s’intéresse à toi, je voulais être certain que ce ne serait pas réciproque. C’était peut-être stupide de ma part.	Oh… I was just afraid Abigail would take an interest in you. I wanted to make sure it wouldn’t be both way. Maybe it was stupid of me.]	Done
A01N02_Ern_CUI_01010	01010	CUISINE	Ernest 	A01N02	 Tu ne vas pas tout lui dire, n’est-ce pas ? Je ne veux pas tomber dans son estime. Si tu lui dis, ce n’est pas juste l’idée de l’épouser que je perds, c’est l’amie que je viens de retrouver après des années de distance.	You won’t tell her everything, will you? I don’t want to lose her respect. If you tell her, it’s not only the idea of marrying her that I’ll lose; it’s also the friend I found again after years apart.	Done
A01N02_NAR_CUI_01020	01020	CUISINE	NARRATEUR 	A01N02	 Il a l’air inquiet. Que devrais-je faire ? M’interposer ? Le laisser se débrouiller ?	He’s worried. What should I do? Get in the way? Leave him alone?	Done
A01N02_Kim_CUI_01030	01030	CUISINE	Kim 	A01N02	 Je ne dirai rien.	I won’t say anything.	Done
A01N02_Kim_CUI_01040	01040	CUISINE	Kim 	A01N02	 Fais ce que tu veux, je n’interviendrai pas. Je ne suis pas là pour ça, après tout.	Do as you wish, I won’t intervene. I’m not there for that, after all.	Done
A01N02_Ern_CUI_01050	01050	CUISINE	Ernest 	A01N02	 Ah. Très bien. Je te revaudrai ça.	Ah. Very well. I won’t forget it.	Done
A01N02_Kim_CUI_01060	01060	CUISINE	Kim 	A01N02	 Je ne peux pas te laisser faire ça.	I can’t let you do that	Done
A01N02_Kim_CUI_01070	01070	CUISINE	Kim 	A01N02	 C’est abject. Tu veux manipuler une amie d’enfance pour son argent, comme si elle n’était qu’un objet, un moyen vers une fin !	It’s horrible. You want to manipulate a childhood friend for her money, as if she was just an object, a means to an end!	Done
A01N02_Ern_CUI_01080	01080	CUISINE	Ernest 	A01N02	 Je suppose que je n’ai plus qu’à accepter de perdre tout ce pour quoi je suis ici, alors ?	I suppose I just have to accept to lose everything I’ve come here for, then?	Done
A01N02_Kim_CUI_01090	01090	CUISINE	Kim 	A01N02	 Tu n’as pas le choix.	You don’t have a choice.	Done
A01N02_Ern_CUI_01100	01100	CUISINE	Ernest 	A01N02	 Nous verrons ça.	We’ll see about that.	Done
A01N02_Ern_CUI_01110	01110	CUISINE	Ernest 	A01N02	 J’espère bien. Et pour Désirée, c’est juste une collègue un peu collante.	I hope so. As for Désirée, she’s just a clingy colleague.	Done
A01N02_Kim_CUI_01120	01120	CUISINE	Kim 	A01N02	 Pourquoi elle t’a envoyé ces messages ?	Why did she send you those messages?	Done
A01N02_Ern_CUI_01130	01130	CUISINE	Ernest 	A01N02	 Elle veut que je revienne vers elle sur des trucs. Tu sais, quand on fait sa boîte, même quand on part en weekend dans un manoir on ne peut pas être tranquille ! C’est pour ça que je ne garde pas mon téléphone sur moi. Ecoute, j’ai un plan pour Abigail. Toi, tu as le droit de fouiller partout. Découvre ses goûts, ce qu’elle aime… Quand tu seras prêt#e||•e#, j’irai lui parler, et tu me diras de quoi parler et quoi lui répondre, discrètement.	She wants me to answer her about some stuff. You know, when you launch your own startup, even when you leave for a weekend in a manor you can’t rest! That’s why I don’t keep my phone on me. Listen, I’ve a plan for Abigail. You can look everywhere. Find out about her hobbies, the things she likes… When you’re ready, I’ll go see her, and you’ll discreetly tell me what to talk about and what to answer her.	Done
A01N02_Kim_CUI_01140	01140	CUISINE	Kim 	A01N02	 Tu veux dire, comment les agents secrets, avec une oreillette ?	You mean like secret agents, with an earpiece?	Done
